game_pk,at_bat_number,pitch_in_pa,batter,home_team,away_team,pitch_type,pitch_type_idx,stand,batter_hand_idx,prev_pitch_type,prev_pitch_idx,prev_prev_pitch_type,prev_pitch_result,prev_pitch_result_idx,balls,strikes,outs_when_up,inning,is_top_inning,on_1b_flag,on_2b_flag,on_3b_flag,score_diff_pov,pitcher_ahead_flag,hitter_ahead_flag,putaway_count_flag,platoon_adv,fastballs_in_pa,last_two_fastballs_flag,risp_flag,high_leverage_flag,prev_release_speed,prev_pfx_x,prev_pfx_z,prev_speed_minus_ff_mean
776185,24,2,694374,AZ,LAD,SI,4,R,1,CU,1,CU,called_strike,2,1,1,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,78.0,1.04,-1.36,-17.486996644295303
776185,24,3,694374,AZ,LAD,CU,0,R,1,SI,5,CU,ball,1,2,1,0,3,0,0,0,0,4,0,1,0,0,1,0,0,0,95.3,-1.18,1.06,-0.18699664429530571
776185,24,4,694374,AZ,LAD,FS,3,R,1,CU,1,SI,swinging_strike,4,2,2,0,3,0,0,0,0,4,0,0,1,0,1,0,0,0,78.0,0.91,-1.44,-17.486996644295303
776185,24,5,694374,AZ,LAD,CU,0,R,1,FS,4,CU,ball,1,3,2,0,3,0,0,0,0,4,0,1,1,0,2,0,0,0,92.4,-1.22,0.07,-3.086996644295297
776185,25,0,664983,AZ,LAD,FF,2,L,0,START,0,START,START,0,0,0,0,3,0,1,0,0,4,0,0,0,1,2,0,0,0,90.24199066874027,-0.30026827371695175,0.42487169517884915,-5.245005975555031
776185,25,1,664983,AZ,LAD,FS,3,L,0,FF,3,START,called_strike,2,0,1,0,3,0,1,0,0,4,0,0,0,1,1,0,0,0,95.7,-0.73,1.22,0.21300335570469997
776185,25,2,664983,AZ,LAD,CU,0,L,0,FS,4,FF,foul,3,0,2,0,3,0,1,0,0,4,1,0,1,1,2,1,0,0,90.7,-0.46,0.18,-4.7869966442953
776185,26,0,672695,AZ,LAD,CU,0,L,0,START,0,START,START,0,0,0,1,3,0,1,0,0,4,0,0,0,1,2,0,0,0,90.24199066874027,-0.30026827371695175,0.42487169517884915,-5.245005975555031
776185,26,1,672695,AZ,LAD,FF,2,L,0,CU,1,START,called_strike,2,0,1,1,3,0,1,0,0,4,0,0,0,1,0,0,0,0,78.2,1.05,-1.26,-17.2869966442953
776185,26,2,672695,AZ,LAD,FS,3,L,0,FF,3,CU,foul,3,0,2,1,3,0,1,0,0,4,1,0,1,1,1,0,0,0,95.5,-0.48,1.31,0.013003355704697128
776185,26,3,672695,AZ,LAD,CU,0,L,0,FS,4,FF,ball,1,1,2,1,3,0,1,0,0,4,1,0,1,1,2,1,0,0,92.5,-0.52,0.42,-2.986996644295303
776185,26,4,672695,AZ,LAD,FF,2,L,0,CU,1,FS,ball,1,2,2,1,3,0,1,0,0,4,0,0,1,1,2,0,0,0,77.2,0.86,-1.41,-18.2869966442953
776185,27,0,606466,AZ,LAD,FF,2,L,0,START,0,START,START,0,0,0,1,3,0,1,1,0,4,0,0,0,1,3,0,1,0,90.24199066874027,-0.30026827371695175,0.42487169517884915,-5.245005975555031
776185,27,1,606466,AZ,LAD,CU,0,L,0,FF,3,START,ball,1,1,0,1,3,0,1,1,0,4,0,0,0,1,1,0,1,0,94.8,-0.33,1.36,-0.6869966442953057
776185,27,2,606466,AZ,LAD,FC,1,L,0,CU,1,FF,ball,1,2,0,1,3,0,1,1,0,4,0,1,0,1,1,0,1,0,77.6,1.14,-1.34,-17.88699664429531
776185,27,3,606466,AZ,LAD,FC,1,L,0,FC,2,CU,foul,3,2,1,1,3,0,1,1,0,4,0,1,0,1,2,0,1,0,90.0,0.67,0.56,-5.486996644295303
776185,28,0,682998,AZ,LAD,CU,0,L,0,START,0,START,START,0,0,0,2,3,0,1,1,0,4,0,0,0,1,3,0,1,0,90.24199066874027,-0.30026827371695175,0.42487169517884915,-5.245005975555031
776185,28,1,682998,AZ,LAD,FS,3,L,0,CU,1,START,called_strike,2,0,1,2,3,0,1,1,0,4,0,0,0,1,0,0,1,0,78.2,0.93,-1.52,-17.2869966442953
776185,28,2,682998,AZ,LAD,FF,2,L,0,FS,4,CU,ball,1,1,1,2,3,0,1,1,0,4,0,0,0,1,1,0,1,0,91.9,-0.87,0.08,-3.586996644295297
776185,28,3,682998,AZ,LAD,FS,3,L,0,FF,3,FS,called_strike,2,1,2,2,3,0,1,1,0,4,1,0,1,1,2,1,1,0,96.2,-0.51,1.34,0.7130033557047
776185,28,4,682998,AZ,LAD,CU,0,L,0,FS,4,FF,ball,1,2,2,2,3,0,1,1,0,4,0,0,1,1,3,1,1,0,91.8,-0.75,0.2,-3.6869966442953057
776185,37,0,672515,AZ,LAD,FF,2,R,1,START,0,START,START,0,0,0,0,4,0,0,0,0,8,0,0,0,0,3,0,0,0,90.24199066874027,-0.30026827371695175,0.42487169517884915,-5.245005975555031
776185,37,1,672515,AZ,LAD,CU,0,R,1,FF,3,START,ball,1,1,0,0,4,0,0,0,0,8,0,0,0,0,1,0,0,0,95.6,-0.72,1.33,0.11300335570469144
776185,37,2,672515,AZ,LAD,FC,1,R,1,CU,1,FF,called_strike,2,1,1,0,4,0,0,0,0,8,0,0,0,0,1,0,0,0,75.2,1.09,-1.26,-20.2869966442953
776185,38,0,680728,AZ,LAD,FS,3,L,0,START,0,START,START,0,0,0,1,4,0,0,0,0,8,0,0,0,1,2,0,0,0,90.24199066874027,-0.30026827371695175,0.42487169517884915,-5.245005975555031
776185,38,1,680728,AZ,LAD,FS,3,L,0,FS,4,START,ball,1,1,0,1,4,0,0,0,0,8,0,0,0,1,1,0,0,0,91.3,-0.84,-0.06,-4.186996644295306
776185,38,2,680728,AZ,LAD,FF,2,L,0,FS,4,FS,called_strike,2,1,1,1,4,0,0,0,0,8,0,0,0,1,2,1,0,0,91.3,-1.23,-0.14,-4.186996644295306
776185,38,3,680728,AZ,LAD,FS,3,L,0,FF,3,FS,foul,3,1,2,1,4,0,0,0,0,8,1,0,1,1,3,1,0,0,96.3,-0.47,1.42,0.8130033557046943
776185,39,0,677942,AZ,LAD,SI,4,R,1,START,0,START,START,0,0,0,2,4,0,0,0,0,8,0,0,0,0,4,0,0,0,90.24199066874027,-0.30026827371695175,0.42487169517884915,-5.245005975555031
776185,39,1,677942,AZ,LAD,CU,0,R,1,SI,5,START,called_strike,2,0,1,2,4,0,0,0,0,8,0,0,0,0,1,0,0,0,94.7,-0.99,1.05,-0.7869966442953
776185,39,2,677942,AZ,LAD,FS,3,R,1,CU,1,SI,ball,1,1,1,2,4,0,0,0,0,8,0,0,0,0,1,0,0,0,75.1,1.11,-1.31,-20.38699664429531
776185,39,3,677942,AZ,LAD,FC,1,R,1,FS,4,CU,ball,1,2,1,2,4,0,0,0,0,8,0,1,0,0,2,0,0,0,91.2,-1.13,0.16,-4.2869966442953
